RegionsIDCode,Percentile_Integrat,Percentile_Experiment,Percentile_Flexible,Percentile_Reliable,Percentile_Method,Percentile_Expert,Percentile_Curious,Percentile_Connective,Percentile_Curative,Percentile_Generative
Manager of R_8H7Jbh2q1AddpER,24.98161481,14.99490099,14.99490099,11.66033587,43.31497401,24.99060313,36.65083966,53.30534733,39.98290684,28.31734133
Manager of R_2X05ksoL11Cy7D3,14.99490099,14.99490099,14.99490099,36.65083966,12.61436732,59.9623304,36.65083966,39.97841079,39.98290684,41.64427786
Manager of R_1LLJCUyDH2dN8zb,9.99580081,4.467661821,4.041387454,18.32447021,94.98866818,94.94204676,98.95173903,39.97841079,69.9715114,13.88611898
Manager of R_3IRBpVDS3ltbdcw,4.99968342,9.99730054,14.99490099,11.66033587,43.31497401,8.748025405,7.49775045,14.1630577,28.32067173,13.88611898
Manager of R_1IgxQv4G5hTIJs7,59.80229104,24.98161481,54.96422884,59.97530988,43.31497401,59.9623304,85.74440559,53.30534733,69.9715114,49.97361319
Manager of R_3sAOMstIFup3TN9,96.31910285,24.98161481,98.88885602,94.96201519,36.65083966,94.94204676,48.31307477,74.96161919,86.65016997,49.97361319
Manager of R_6F0OzbS4vScM3h7,98.98530294,94.9870027,98.88885602,94.96201519,92.76669777,94.94204676,85.74440559,94.9036535,86.65016997,93.05649116
Manager of R_2v0KI3xWaB6jEOl,69.95653507,74.95363741,64.95943273,83.29978009,84.96581367,59.9623304,24.98860456,88.28855572,86.65016997,71.62988506
Manager of R_3Ld504v0tYVIim6,69.95653507,89.94591008,98.88885602,76.63564574,84.96581367,94.94204676,98.95173903,53.30534733,81.6337465,71.62988506
Manager of R_2EDXiQpigU4uEBE,59.80229104,64.95843351,64.95943273,76.63564574,43.31497401,74.95460846,59.97530988,74.96161919,69.9715114,41.64427786
Manager of R_1DCqxKf8MjI72ge,44.97200522,6.664567087,98.88885602,83.29978009,54.97720912,49.9671265,24.98860456,92.17180626,69.9715114,41.64427786
Manager of R_3qQXaDEj0JUgkmD,98.98530294,94.9870027,98.88885602,94.96201519,12.61436732,94.94204676,98.95173903,94.9036535,86.65016997,98.95173903
Manager of R_2wcwYSw7rrXgnic,96.31910285,64.95843351,98.88885602,94.96201519,36.65083966,94.94204676,98.95173903,94.9036535,86.65016997,93.05649116
Manager of R_24qLgdNfUQoa5yq,44.97200522,6.664567087,6.664567087,7.49775045,24.98860456,49.9671265,24.98860456,92.17180626,51.64514194,8.331378104
Manager of R_3e4R0DKgslPDP2r,69.95653507,64.95843351,79.951709,59.97530988,66.63944422,84.94684287,98.95173903,92.17180626,81.6337465,71.62988506
Manager of R_2ayjYBdAjKQCjJL,86.39071667,49.96910576,54.96422884,59.97530988,78.30167933,94.94204676,98.95173903,53.30534733,69.9715114,58.30294853
Manager of R_1mWA84XaOKGGAqp,44.97200522,49.96910576,64.95943273,59.97530988,36.65083966,12.49485099,7.49775045,39.97841079,58.30927629,11.10874854
Manager of R_1IylepSgCZ3pAz6,98.98530294,89.94591008,98.88885602,94.96201519,8.844300877,94.94204676,98.95173903,94.9036535,86.65016997,98.95173903
Manager of R_3P77cSv0t6hBrrj,59.80229104,14.99490099,64.95943273,76.63564574,66.63944422,84.94684287,85.74440559,74.96161919,58.30927629,71.62988506
Manager of R_10IyteArts9v8L6,59.80229104,64.95843351,98.88885602,94.96201519,92.76669777,84.94684287,59.97530988,74.96161919,81.6337465,58.30294853
Manager of R_1kLxpON9Qdqq7TW,9.99580081,14.99490099,4.041387454,3.666300029,36.65083966,2.999550045,4.332050257,14.1630577,4.333027798,19.988006
Manager of R_shxK1fPgwyqDtV7,59.80229104,39.93353338,19.99250384,53.31117553,84.96581367,59.9623304,36.65083966,39.97841079,39.98290684,79.95922039
Manager of R_2aVoRnRodcpW5pG,86.39071667,39.93353338,44.97200522,76.63564574,66.63944422,24.99060313,18.32447021,66.63228386,51.64514194,71.62988506
Manager of R_1OE94LRaMtHPCLf,86.39071667,92.48745261,79.951709,94.96201519,24.98860456,94.94204676,59.97530988,88.28855572,86.65016997,98.95173903
Manager of R_11ZQ4mq8cqZLpLf,98.98530294,92.48745261,98.88885602,94.96201519,6.280541455,94.94204676,98.95173903,92.17180626,89.98290342,98.95173903
Manager of R_211zUWB0cjaIBJM,69.95653507,64.95843351,98.88885602,94.96201519,54.97720912,84.94684287,76.63564574,92.17180626,69.9715114,41.64427786
Manager of R_2TMKnXUtx4gOPp8,44.97200522,14.99490099,54.96422884,83.29978009,8.844300877,94.94204676,98.95173903,94.9036535,86.65016997,28.31734133
Manager of R_10JhHS6oOeSAVTq,96.31910285,74.95363741,98.88885602,94.96201519,8.844300877,74.95460846,85.74440559,92.17180626,86.65016997,58.30294853
Manager of R_3JdW1QmxTOf8rPR,86.39071667,64.95843351,98.88885602,83.29978009,66.63944422,94.94204676,98.95173903,92.17180626,81.6337465,79.95922039
Manager of R_1QJZSGk197oOZpz,98.98530294,74.95363741,98.88885602,76.63564574,92.76669777,94.94204676,76.63564574,74.96161919,86.65016997,98.95173903
Manager of R_10ZvnmIoRY7MS4i,3.523740685,92.48745261,4.041387454,11.66033587,4.332783388,34.97780414,24.98860456,6.248818898,9.164117177,19.988006
Manager of R_2fk8rQUkAJ6P6fz,98.98530294,92.48745261,98.88885602,94.96201519,4.332783388,94.94204676,98.95173903,94.9036535,86.65016997,98.95173903
Manager of R_1Do3Q0zHqJXuln8,44.97200522,6.664567087,9.99730054,36.65083966,24.98860456,24.99060313,36.65083966,66.63228386,39.98290684,28.31734133
Manager of R_1eK6Lj4qnWlxvSx,98.98530294,94.9870027,98.88885602,94.96201519,24.98860456,94.94204676,98.95173903,94.9036535,89.98290342,93.05649116
Manager of R_1eRV0cRioKtaCKu,59.80229104,39.93353338,64.95943273,83.29978009,43.31497401,94.94204676,48.31307477,74.96161919,69.9715114,58.30294853
Manager of R_2e9a4Bs5MNJcRN8,14.99490099,9.99730054,14.99490099,18.32447021,43.31497401,59.9623304,7.49775045,18.95132771,21.65653739,13.88611898
Manager of R_1C8AcmFsOyKm4aO,98.98530294,92.48745261,98.88885602,94.96201519,66.63944422,94.94204676,98.95173903,94.9036535,89.98290342,98.95173903
Manager of R_1rMR7n8GDY8TtCZ,98.98530294,94.9870027,98.88885602,76.63564574,90.54472737,94.94204676,98.95173903,88.28855572,89.98290342,89.14501375
Manager of R_25A3ANU8WEcc7dd,14.99490099,39.93353338,29.97971637,29.98670532,2.999550045,59.9623304,59.97530988,53.30534733,51.64514194,49.97361319
Manager of R_CgkFBygljMEPvMJ,98.98530294,94.9870027,98.88885602,94.96201519,84.96581367,94.94204676,98.95173903,94.9036535,89.98290342,98.95173903
Manager of R_3lER7yMI9m32jXP,69.95653507,74.95363741,64.95943273,53.31117553,43.31497401,94.94204676,98.95173903,53.30534733,81.6337465,79.95922039
Manager of R_2uCb68eEWOj0bol,69.95653507,74.95363741,64.95943273,59.97530988,92.76669777,94.94204676,59.97530988,74.96161919,69.9715114,79.95922039
Manager of R_3mmi5zoKR4BLZwJ,59.80229104,24.98161481,44.97200522,76.63564574,18.32447021,84.94684287,98.95173903,74.96161919,86.65016997,58.30294853
Manager of R_28zVAOQAgIzNeLX,86.39071667,9.99730054,44.97200522,76.63564574,24.98860456,94.94204676,11.66033587,18.95132771,21.65653739,19.988006
Manager of R_1DALl4qbDADNmhO,86.39071667,2.340062225,79.951709,83.29978009,78.30167933,84.94684287,59.97530988,18.95132771,39.98290684,2.599580042
Manager of R_1rqSQPormajw7J3,59.80229104,24.98161481,9.99730054,36.65083966,84.96581367,84.94684287,85.74440559,74.96161919,51.64514194,49.97361319
Manager of R_DMpmGr1GYN3dV7P,86.39071667,92.48745261,85.27749474,94.96201519,8.844300877,94.94204676,76.63564574,94.9036535,86.65016997,93.05649116
Manager of R_2VpPOF7jH07AJuH,86.39071667,74.95363741,79.951709,94.96201519,66.63944422,94.94204676,85.74440559,92.17180626,86.65016997,79.95922039
Manager of R_21EuNDRUrsRIryB,98.98530294,94.9870027,98.88885602,94.96201519,36.65083966,94.94204676,98.95173903,88.28855572,89.98290342,93.05649116
Manager of R_2U3YEAOYxCLJjZl,98.98530294,64.95843351,98.88885602,94.96201519,94.98866818,94.94204676,98.95173903,94.9036535,51.64514194,89.14501375
Manager of R_qwStpZihxUweQX7,29.99020189,39.93353338,54.96422884,36.65083966,36.65083966,84.94684287,59.97530988,53.30534733,58.30927629,41.64427786
Manager of R_3801Lk5xapppWk9,29.99020189,14.99490099,19.99250384,29.98670532,66.63944422,49.9671265,24.98860456,18.95132771,39.98290684,28.31734133
Manager of R_1gpU87aosO01rhT,69.95653507,89.94591008,98.88885602,83.29978009,43.31497401,94.94204676,76.63564574,92.17180626,69.9715114,79.95922039
Manager of R_2cj7FHHPu1bXtwh,96.31910285,49.96910576,98.88885602,94.96201519,94.98866818,94.94204676,98.95173903,94.9036535,89.98290342,89.14501375
Manager of R_XLFd6ObVZLbJb0t,29.99020189,6.664567087,85.27749474,53.31117553,18.32447021,94.94204676,76.63564574,66.63228386,58.30927629,41.64427786
Manager of R_6i005mmWbTgh4Jz,98.98530294,94.9870027,85.27749474,83.29978009,66.63944422,94.94204676,76.63564574,88.28855572,86.65016997,93.05649116
Manager of R_3MsQB7qFUsRG2NE,29.99020189,49.96910576,29.97971637,53.31117553,43.31497401,24.99060313,24.98860456,53.30534733,39.98290684,58.30294853
Manager of R_2Wwq67bNtevrucy,9.99580081,6.664567087,6.664567087,18.32447021,24.98860456,19.15507246,7.49775045,8.331933508,5.831383723,8.331378104
Manager of R_XHZWvsRU3MMgKqJ,96.31910285,94.9870027,98.88885602,94.96201519,92.76669777,94.94204676,98.95173903,94.9036535,89.98290342,98.95173903
Manager of R_VKbub7id3sIj9GV,29.99020189,39.93353338,29.97971637,29.98670532,24.98860456,24.99060313,24.98860456,39.97841079,39.98290684,49.97361319
Manager of R_YY0KVeRKRC4FBux,59.80229104,74.95363741,44.97200522,53.31117553,54.97720912,84.94684287,24.98860456,66.63228386,69.9715114,71.62988506
Manager of R_1MJWa6BdxRpwgND,69.95653507,39.93353338,44.97200522,53.31117553,66.63944422,34.97780414,24.98860456,74.96161919,51.64514194,49.97361319
Manager of R_10TaSsDDxhME09c,86.39071667,39.93353338,85.27749474,83.29978009,78.30167933,94.94204676,85.74440559,92.17180626,89.98290342,71.62988506
Manager of R_2ctm4ypibZq4fJP,96.31910285,94.9870027,98.88885602,94.96201519,92.76669777,94.94204676,85.74440559,88.28855572,86.65016997,79.95922039
Manager of R_3Ej74VyBQ63ng5u,29.99020189,92.48745261,64.95943273,94.96201519,8.844300877,74.95460846,98.95173903,94.9036535,51.64514194,98.95173903
Manager of R_1CHZuIicum9vtHP,29.99020189,9.99730054,44.97200522,76.63564574,43.31497401,94.94204676,48.31307477,39.97841079,28.32067173,19.988006
Manager of R_1GP85GVvAlg0iuS,86.39071667,49.96910576,54.96422884,83.29978009,94.98866818,74.95460846,85.74440559,39.97841079,69.9715114,49.97361319
Manager of R_SNnXZvhap2REAQV,24.98161481,14.99490099,85.27749474,76.63564574,90.54472737,74.95460846,18.32447021,26.65147426,28.32067173,19.988006
Manager of R_UQKQZOB9s9d7wJj,69.95653507,14.99490099,64.95943273,83.29978009,84.96581367,84.94684287,76.63564574,74.96161919,58.30927629,49.97361319
Manager of R_3CNQUzurGIRjm76,59.80229104,NaN,64.95943273,83.29978009,94.98866818,94.94204676,85.74440559,92.17180626,86.65016997,19.988006
Manager of R_4MYKTYpcDg6M7Qt,59.80229104,89.94591008,79.951709,53.31117553,66.63944422,59.9623304,59.97530988,74.96161919,58.30927629,79.95922039
Manager of R_2UXYfwzKVaIfDpZ,9.99580081,4.467661821,6.664567087,4.732908034,66.63944422,8.748025405,4.332050257,14.1630577,9.164117177,13.88611898
Manager of R_3RwLtphmg6cfkNu,86.39071667,74.95363741,54.96422884,76.63564574,54.97720912,74.95460846,85.74440559,66.63228386,58.30927629,89.14501375
Manager of R_tVTE0YHUsQlQZhL,14.99490099,4.467661821,14.99490099,18.32447021,54.97720912,34.97780414,18.32447021,10.69148927,9.164117177,8.331378104
Manager of R_1Q9iui8LtNHIPfQ,44.97200522,24.98161481,29.97971637,53.31117553,54.97720912,49.9671265,59.97530988,39.97841079,51.64514194,58.30294853
Manager of R_12D7MsZd2TOCUYi,44.97200522,14.99490099,64.95943273,59.97530988,66.63944422,59.9623304,48.31307477,53.30534733,39.98290684,41.64427786
Manager of R_3PZH47cIOmj7tHB,14.99490099,14.99490099,4.680340237,53.31117553,54.97720912,74.95460846,85.74440559,18.95132771,3.444175944,11.10874854
Manager of R_1ilJbQmXxH86YrK,86.39071667,89.94591008,98.88885602,94.96201519,54.97720912,84.94684287,76.63564574,92.17180626,86.65016997,93.05649116
Manager of R_3emoyeY6ZfdOIAe,29.99020189,14.99490099,29.97971637,53.31117553,36.65083966,59.9623304,48.31307477,18.95132771,39.98290684,41.64427786
Manager of R_3hsGzQQHZDDNZDO,86.39071667,64.95843351,85.27749474,94.96201519,66.63944422,94.94204676,98.95173903,92.17180626,89.98290342,89.14501375
Manager of R_6RpgimVxAb7s7rr,98.98530294,94.9870027,98.88885602,94.96201519,66.63944422,94.94204676,98.95173903,94.9036535,89.98290342,98.95173903
Manager of R_2ZTvQqQFbZFXH5L,3.523740685,1.276262428,4.041387454,2.599692025,24.98860456,6.248475315,4.332050257,6.248818898,3.444175944,11.10874854
Manager of R_2DYotvgaiEZyMxw,44.97200522,89.94591008,64.95943273,29.98670532,78.30167933,59.9623304,36.65083966,53.30534733,58.30927629,79.95922039
Manager of R_3p6nxdJvMAaXscv,86.39071667,74.95363741,64.95943273,83.29978009,78.30167933,84.94684287,98.95173903,94.9036535,81.6337465,89.14501375
Manager of R_aY2NU7FjqcBz8HL,96.31910285,64.95843351,79.951709,94.96201519,92.76669777,84.94684287,76.63564574,88.28855572,86.65016997,71.62988506
Manager of R_2DOZbwKL6YLUsMZ,98.98530294,94.9870027,98.88885602,94.96201519,94.98866818,94.94204676,98.95173903,94.9036535,89.98290342,98.95173903
Manager of R_UmUbcyVotCpR5oB,44.97200522,64.95843351,44.97200522,53.31117553,36.65083966,34.97780414,76.63564574,39.97841079,51.64514194,41.64427786
Manager of R_1Ej9GAEkgw2nSLO,86.39071667,74.95363741,54.96422884,83.29978009,54.97720912,94.94204676,85.74440559,66.63228386,69.9715114,79.95922039
Manager of R_24AtZPeRLS7cun8,98.98530294,94.9870027,98.88885602,94.96201519,92.76669777,94.94204676,98.95173903,74.96161919,58.30927629,98.95173903
Manager of R_2v31fEgdmfQ5KvE,69.95653507,6.664567087,44.97200522,76.63564574,36.65083966,94.94204676,76.63564574,74.96161919,39.98290684,58.30294853
Manager of R_4T2z30kukvYKDux,44.97200522,24.98161481,19.99250384,36.65083966,12.61436732,19.15507246,36.65083966,53.30534733,14.99240304,19.988006
Manager of R_8qcaoiCs7A0m17H,24.98161481,39.93353338,29.97971637,18.32447021,54.97720912,34.97780414,24.98860456,26.65147426,28.32067173,49.97361319
Manager of R_BypGGfszgegEeIh,98.98530294,89.94591008,98.88885602,94.96201519,78.30167933,94.94204676,98.95173903,94.9036535,89.98290342,79.95922039
Manager of R_3kzFwiyyS5xWypu,96.31910285,74.95363741,98.88885602,83.29978009,36.65083966,59.9623304,76.63564574,94.9036535,89.98290342,71.62988506
Manager of R_22mJHSdFiDsnQv7,14.99490099,39.93353338,19.99250384,29.98670532,84.96581367,24.99060313,18.32447021,26.65147426,28.32067173,28.31734133
Manager of R_A0eHDfERRVfcIiR,4.99968342,6.664567087,9.99730054,36.65083966,66.63944422,19.15507246,18.32447021,26.65147426,9.164117177,11.10874854
Manager of R_2SleSWcL6C0ZHlt,29.99020189,64.95843351,44.97200522,94.96201519,36.65083966,84.94684287,98.95173903,74.96161919,58.30927629,71.62988506
Manager of R_3HUD8D1Y9ERGlJo,29.99020189,89.94591008,79.951709,76.63564574,1.666316702,59.9623304,98.95173903,92.17180626,81.6337465,89.14501375
Manager of R_2wT9SGmyveBSaTt,98.98530294,74.95363741,79.951709,94.96201519,66.63944422,74.95460846,98.95173903,92.17180626,86.65016997,93.05649116
Manager of R_2CwTBBD8WvzbBQv,98.98530294,94.9870027,85.27749474,94.96201519,94.98866818,84.94684287,85.74440559,92.17180626,86.65016997,89.14501375
Manager of R_30pA13idxkA4ZIP,86.39071667,74.95363741,64.95943273,76.63564574,78.30167933,94.94204676,85.74440559,92.17180626,86.65016997,89.14501375
Manager of R_u4SyixHo0mlsTbX,69.95653507,74.95363741,79.951709,83.29978009,78.30167933,84.94684287,76.63564574,74.96161919,86.65016997,79.95922039
Manager of R_3imR5OL21lF1pRU,86.39071667,39.93353338,85.27749474,94.96201519,54.97720912,84.94684287,11.66033587,74.96161919,58.30927629,71.62988506
Manager of R_DFWjWpaOHRQxwrf,24.98161481,2.340062225,79.951709,83.29978009,84.96581367,49.9671265,18.32447021,8.331933508,5.831383723,5.554007665
Manager of R_DppvaWmPOrqpBXr,44.97200522,49.96910576,44.97200522,53.31117553,84.96581367,59.9623304,59.97530988,53.30534733,58.30927629,58.30294853
Manager of R_1hSkDxKxXzlhwvO,86.39071667,92.48745261,44.97200522,83.29978009,18.32447021,84.94684287,85.74440559,53.30534733,51.64514194,79.95922039
Manager of R_3snShT2NQjoWxaZ,86.39071667,64.95843351,79.951709,83.29978009,43.31497401,59.9623304,24.98860456,74.96161919,69.9715114,49.97361319
Manager of R_T6LqgqAh2RqYXi9,69.95653507,64.95843351,54.96422884,59.97530988,84.96581367,74.95460846,59.97530988,53.30534733,81.6337465,71.62988506
Manager of R_pfOdDRpSigNdH6F,29.99020189,9.99730054,29.97971637,29.98670532,66.63944422,34.97780414,1.665850163,18.95132771,21.65653739,13.88611898
Manager of R_308coaLkvGTxQki,9.99580081,2.340062225,19.99250384,53.31117553,94.98866818,49.9671265,4.332050257,10.69148927,28.32067173,41.64427786
Manager of R_2ZVVNoa1fka3CaJ,29.99020189,14.99490099,29.97971637,36.65083966,66.63944422,49.9671265,36.65083966,39.97841079,51.64514194,49.97361319
Manager of R_2YrhRlYrcPjtcFZ,98.98530294,94.9870027,98.88885602,94.96201519,94.98866818,94.94204676,98.95173903,94.9036535,89.98290342,98.95173903
Manager of R_1pKglnshVAg3z53,98.98530294,94.9870027,98.88885602,94.96201519,18.32447021,94.94204676,98.95173903,92.17180626,86.65016997,98.95173903
Manager of R_3ESbkXDLyBJHWhD,44.97200522,39.93353338,64.95943273,59.97530988,43.31497401,59.9623304,76.63564574,53.30534733,58.30927629,49.97361319
Manager of R_3kh56WRhrIdIFlQ,98.98530294,94.9870027,85.27749474,94.96201519,24.98860456,94.94204676,98.95173903,94.9036535,89.98290342,98.95173903
Manager of R_dnVbG0p2WjoNXH3,98.98530294,94.9870027,98.88885602,94.96201519,94.98866818,94.94204676,98.95173903,94.9036535,89.98290342,98.95173903
Manager of R_wMOcW2wjzh1NfeF,86.39071667,14.99490099,64.95943273,83.29978009,54.97720912,94.94204676,24.98860456,39.97841079,14.99240304,28.31734133